,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Don’t Break My Heart","The Weeknd",3521,https://open.spotify.com/track/6a4GH1gljLL7VvmO9u5O92
56,"Love Always Run Away","Lim Young Woong",3461,https://open.spotify.com/track/4rMEoXVYww6Xy7q9wSj4gy
57,Yours,JIN,3446,https://open.spotify.com/track/10IfXtjKQmOiON7tNAHv0y
58,Celebrity,IU,3420,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
59,MELODY,"ASH ISLAND",3363,https://open.spotify.com/track/6JeleVHUHrdvgiFESE33ZU
60,"MBTI (Feat. Coogie & Loco) (Prod. GRAY)",BE'O,3233,https://open.spotify.com/track/3sMyDgDEGNCAOIvlEs6PR7
61,"Sweet Night",V,3209,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
62,"RE : WIND","ISEGYE IDOL",3205,https://open.spotify.com/track/0RCqAz9JQJZim0N9WAYvf7
63,You,IU,3088,https://open.spotify.com/track/1t9FZ4govN4TS6RcA6QpYH
64,"Love Letter",IU,3041,https://open.spotify.com/track/56Tn22SAFIGYpyHrf7TV0X
65,"Cold Heart - PNAU Remix","Elton John",3017,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
66,Queendom,"Red Velvet",2887,https://open.spotify.com/track/6SpPr7K4YQ2wp8jU6uOTmQ
67,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2831,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
68,"Phantom Regret by Jim","The Weeknd",2724,https://open.spotify.com/track/1NlK2NtpuUazpziLhnJwEV
69,"Smokin Out The Window","Bruno Mars",2719,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
70,Drawer,10cm,2651,https://open.spotify.com/track/1OQ3PoRZRtE7RH0NIh3p1O
71,Weekend,TAEYEON,2641,https://open.spotify.com/track/6cqH1q7g5GeRVQVMK1Vc7f
72,"Blinding Lights","The Weeknd",2611,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
73,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2593,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
74,"Levitating (feat. DaBaby)","Dua Lipa",2501,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
75,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",Pateko,2463,https://open.spotify.com/track/4LxFRsy3TZjqAtAgIsjkez
76,"good 4 u","Olivia Rodrigo",2462,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
77,"Leave The Door Open","Bruno Mars",2455,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
78,"Acrobat 곡예사","Gwangil Jo",2454,https://open.spotify.com/track/0k21uOz3txTfyA1a91QWTr
79,"Black Mamba",aespa,2439,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
80,SCIENTIST,TWICE,2424,https://open.spotify.com/track/2J0TRU2EDG29qlmxdGa4xa
81,XOXO,"JEON SOMI",2419,https://open.spotify.com/track/4r34Yi0eltsu1tp6z4lq3x
82,"I Hate U",SZA,2415,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
83,"Rock with you",SEVENTEEN,2405,https://open.spotify.com/track/6LnEoRQKMcaFTR5UvaKuBy
